No.,Vulnerability Title,Stage,Reason,Vulnerability ID,Severity,Affected Versions,CVE,CWE,Vulnerability Link,Vulnerability Link（超链接）
1,Sandbox browser noVNC observer lacked VNC authentication,Authentication & Authorization Decision Stage,漏洞核心在于缺少VNC认证，属于身份校验缺失问题,GHSA-25GX-X37C-7PPH,Moderate,<= 2026.2.19-2,,CWE-306,https://github.com/openclaw/openclaw/security/advisories/GHSA-25gx-x37c-7pph,Vulnerability Link
2,BlueBubbles group allowlist mismatch via DM pairing-store fallback,Authentication & Authorization Decision Stage,CWE-863 表示授权验证不正确，漏洞涉及群组允许列表与私信配对存储回退机制间的权限判断错误，属于权限控制失效问题。,GHSA-25PW-4H6W-QWVM,Low,<= 2026.2.25,,CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-25pw-4h6w-qwvm,Vulnerability Link
3,Workspace-only sandbox guard mismatch for @-prefixed absolute paths,Resource Access Stage,漏洞涉及路径解析错误导致的越界资源访问，属于路径遍历（CWE-22）和不正确路径处理（CWE-180）问题。,GHSA-27CR-4P5M-74RJ,Moderate,<= 2026.2.23,,CWE-22; CWE-180,https://github.com/openclaw/openclaw/security/advisories/GHSA-27cr-4p5m-74rj,Vulnerability Link
4,Node camera URL payload host-binding bypass allowed gateway fetch pivots,Resource Access Stage,漏洞涉及绕过主机绑定限制，导致可访问非预期的内部资源，属于SSRF类问题,GHSA-2858-XG23-26FP,Moderate,>= 2026.2.13 <= 2026.3.1,,CWE-918,https://github.com/openclaw/openclaw/security/advisories/GHSA-2858-xg23-26fp,Vulnerability Link
5,commands.allowFrom sender authorization accepted conversation identifiers via ctx.From,Authentication & Authorization Decision Stage,漏洞涉及授权逻辑错误，错误地接受会话标识符进行权限判断,GHSA-2CH6-X3G4-7759,Moderate,<=2026.2.22-2,,CWE-639,https://github.com/openclaw/openclaw/security/advisories/GHSA-2ch6-x3g4-7759,Vulnerability Link
6,system.run shell-wrapper env injection via SHELLOPTS/PS4 can bypass allowlist intent (RCE),Execution Stage,漏洞通过环境变量注入导致任意命令执行，属于命令注入类RCE，直接发生在执行阶段。,GHSA-2FGQ-7J6H-9RM4,Moderate,<= 2026.2.21-2,,CWE-15; CWE-78,https://github.com/openclaw/openclaw/security/advisories/GHSA-2fgq-7j6h-9rm4,Vulnerability Link
7,Owner-only gateway tool access checks were incomplete in specific authenticated DM flows,Authentication & Authorization Decision Stage,漏洞涉及所有者权限检查不完整，属于权限判断错误,GHSA-2HM8-RQRM-XFJQ,Low,<= 2026.2.17,,CWE-269; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-2hm8-rqrm-xfjq,Vulnerability Link
8,iOS deep link (openclaw://agent) can trigger gateway agent requests without local confirmation,Authentication & Authorization Decision Stage,漏洞允许通过 deep link 触发敏感操作而无需本地确认，属于身份或权限校验缺失。,GHSA-2J9J-GF59-P4P5,Low,<= 2026.2.22-2,,,https://github.com/openclaw/openclaw/security/advisories/GHSA-2j9j-gf59-p4p5,Vulnerability Link
9,iMessage remote attachment SCP hardening (strict host-key checks and remoteHost validation),Execution Stage,漏洞涉及远程命令执行（CWE-78）和不安全的主机密钥验证（CWE-295），核心风险在于执行阶段对远程命令或连接的处理不当。,GHSA-2MC2-G238-722J,Moderate,2026.2.17,,CWE-78; CWE-295,https://github.com/openclaw/openclaw/security/advisories/GHSA-2mc2-g238-722j,Vulnerability Link
10,OC-91: WhatsApp reaction action bypasses JID authorization for allowFrom-restricted targets,Authentication & Authorization Decision Stage,漏洞涉及绕过JID授权检查，属于权限判断错误,GHSA-2PRF-9CW7-FQ62,Moderate,<= 2026.2.19-2,CVE-2026-27158,CWE-20; CWE-862,https://github.com/openclaw/openclaw/security/advisories/GHSA-2prf-9cw7-fq62,Vulnerability Link
